loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/rejected,logps/chosen,logits/rejected,logits/chosen,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6923,5.148159980773926,1.5625e-05,-0.0021002055145800114,-0.003881327109411359,0.512499988079071,0.0017811215948313475,-136.271728515625,-105.29720306396484,-0.44816750288009644,-0.2707732617855072,0.032,10,,,,,
0.6902,3.957488536834717,3.125e-05,-0.023938631638884544,-0.03024887479841709,0.5687500238418579,0.006310242228209972,-140.40921020507812,-107.30461120605469,-0.39651307463645935,-0.2604472041130066,0.064,20,,,,,
0.6774,4.175656318664551,4.6875e-05,-0.026860643178224564,-0.060670606791973114,0.6875,0.03380995988845825,-124.4095230102539,-91.95919036865234,-0.49884891510009766,-0.3149779140949249,0.096,30,,,,,
0.6662,4.633697986602783,4.989935734988098e-05,-0.10317013412714005,-0.17470385134220123,0.59375,0.07153372466564178,-129.61444091796875,-107.3919448852539,-0.37666386365890503,-0.29356497526168823,0.128,40,,,,,
0.6581,4.132262706756592,4.9491884960580894e-05,-0.18605023622512817,-0.29222631454467773,0.625,0.10617610067129135,-130.34512329101562,-110.9192886352539,-0.3683485686779022,-0.26505765318870544,0.16,50,,,,,
0.6449,5.008827209472656,4.877641290737884e-05,-0.3037947118282318,-0.46984076499938965,0.606249988079071,0.16604608297348022,-135.68727111816406,-108.3171157836914,-0.44435375928878784,-0.3530825972557068,0.192,60,,,,,
0.6621,5.486753940582275,4.7761938666470403e-05,-0.308397114276886,-0.432995080947876,0.6187499761581421,0.1245979517698288,-135.2283477783203,-110.0574722290039,-0.37833666801452637,-0.28870880603790283,0.224,70,,,,,
0.6394,4.553903579711914,4.6461219840046654e-05,-0.30982571840286255,-0.48508089780807495,0.668749988079071,0.17525510489940643,-135.0450897216797,-99.67997741699219,-0.3962623178958893,-0.22935517132282257,0.256,80,,,,,
0.6401,4.549862861633301,4.489061372204453e-05,-0.43762221932411194,-0.6134885549545288,0.6312500238418579,0.17586632072925568,-136.25503540039062,-117.39029693603516,-0.361550509929657,-0.28450602293014526,0.288,90,,,,,
0.6463,5.1974101066589355,4.306987159568479e-05,-0.4392366409301758,-0.6371646523475647,0.612500011920929,0.1979280412197113,-123.31599426269531,-111.83329010009766,-0.3313334584236145,-0.2791195511817932,0.32,100,,,,,
0.6581,5.600039005279541,4.10218903496256e-05,-0.45178860425949097,-0.593694269657135,0.6000000238418579,0.14190562069416046,-137.81036376953125,-116.73162841796875,-0.33464863896369934,-0.2431223839521408,0.352,110,,,,,
0.5995,6.642136096954346,3.8772424536302564e-05,-0.46361714601516724,-0.7809282541275024,0.706250011920929,0.3173111081123352,-139.424072265625,-109.18717193603516,-0.3154587745666504,-0.20877531170845032,0.384,120,,,,,
0.658,5.655344009399414,3.634976249348867e-05,-0.7111791968345642,-0.8897759318351746,0.6187499761581421,0.17859674990177155,-145.94570922851562,-119.49430847167969,-0.36030012369155884,-0.2688978910446167,0.416,130,,,,,
0.6264,5.006336688995361,3.378437060203357e-05,-0.5193170309066772,-0.7856220006942749,0.637499988079071,0.26630496978759766,-136.8547821044922,-118.93125915527344,-0.3106446862220764,-0.21404698491096497,0.448,140,,,,,
0.6162,3.9003164768218994,3.110851015344735e-05,-0.4463872015476227,-0.7016012668609619,0.6625000238418579,0.25521403551101685,-136.55760192871094,-114.76750183105469,-0.27739906311035156,-0.2084251344203949,0.48,150,,,,,
0.6528,6.908060550689697,2.8355831645441388e-05,-0.4779530167579651,-0.6739570498466492,0.606249988079071,0.19600412249565125,-137.29896545410156,-116.34442138671875,-0.1989297717809677,-0.14130660891532898,0.512,160,,,,,
